Index,Richmond,El Cerrito Del Norte,El Cerrito Plaza,North Berkeley,Berkeley,Ashby,MacArthur,19th Street,12th Street ,Lake Merritt,Fruitvale,Coliseum,San Leandro,Bayfair,Hayward,South Hayward,Union City,Fremont,Concord,Pleasant Hill,Walnut Creek,Lafayette,Orinda,Rockridge,West Oakland,Embarcadero,Montgomery Street,Powell Street,Civic Center,16th Street Mission,24th Street Mission,Glen Park,Balboa Park,Daly City,Colma,Castro Valley,Dublin/Pleasanton,North Concord,Pittsburg/Bay Point,South San Francisco,San Bruno,SFO,Millbrae,West Dublin,Oakland Air,Warm Springs,Milpitas,Berryessa,Pittsburg Center,Antioch
Richmond,,3,3,3,3,3,3,3,3,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","3,4","3,4","3,4","3,4","3,4","3,4",3,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,6","3,6","3,4","3,4","3,2","3,2","3,2","3,2","3,6","1,3,7","1,3","1,3","1,3","3,4,5","3,4,5"
El Cerrito Del Norte,3,,3,3,3,3,3,3,3,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","3,4","3,4","3,4","3,4","3,4","3,4",3,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,6","3,6","3,4","3,4","3,2","3,2","3,2","3,2","3,6","1,3,7","1,3","1,3","1,3","3,4,5","3,4,5"
El Cerrito Plaza,3,3,,3,3,3,3,3,3,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","3,4","3,4","3,4","3,4","3,4","3,4",3,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,6","3,6","3,4","3,4","3,2","3,2","3,2","3,2","3,6","1,3,7","1,3","1,3","1,3","3,4,5","3,4,5"
North Berkeley,3,3,3,,3,3,3,3,3,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","3,4","3,4","3,4","3,4","3,4","3,4",3,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,6","3,6","3,4","3,4","3,2","3,2","3,2","3,2","3,6","1,3,7","1,3","1,3","1,3","3,4,5","3,4,5"
Berkeley,3,3,3,3,,3,3,3,3,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","3,4","3,4","3,4","3,4","3,4","3,4",3,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,6","3,6","3,4","3,4","3,2","3,2","3,2","3,2","3,6","1,3,7","1,3","1,3","1,3","3,4,5","3,4,5"
Ashby,3,3,3,3,3,,3,3,3,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","3,4","3,4","3,4","3,4","3,4","3,4",3,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,6","3,6","3,4","3,4","3,2","3,2","3,2","3,2","3,6","1,3,7","1,3","1,3","1,3","3,4,5","3,4,5"
MacArthur,3,3,3,3,3,3,,3,3,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","3,4","3,4","3,4","3,4","3,4","3,4",3,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,6","3,6","3,4","3,4","3,2","3,2","3,2","3,2","3,6","1,3,7","1,3","1,3","1,3","3,4,5","3,4,5"
19th Street,3,3,3,3,3,3,3,,3,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","3,4","3,4","3,4","3,4","3,4","3,4",3,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,6","3,6","3,4","3,4","3,2","3,2","3,2","3,2","3,6","1,3,7","1,3","1,3","1,3","3,4,5","3,4,5"
12th Street ,3,3,3,3,3,3,3,3,,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","3,4","3,4","3,4","3,4","3,4","3,4",3,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,6","3,6","3,4","3,4","3,2","3,2","3,2","3,2","3,6","1,3,7","1,3","1,3","1,3","3,4,5","3,4,5"
Lake Merritt,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",,1,1,1,1,1,1,1,1,"1,4","1,4","1,4","1,4","1,4","1,4",1,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,7",1,1,1,"1,4,5","1,4,5"
Fruitvale,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,,1,1,1,1,1,1,1,"1,4","1,4","1,4","1,4","1,4","1,4",1,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,8",1,1,1,"1,4,5","1,4,5"
Coliseum,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,,1,1,1,1,1,1,"1,4","1,4","1,4","1,4","1,4","1,4",1,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,9",1,1,1,"1,4,5","1,4,5"
San Leandro,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,1,,1,1,1,1,1,"1,4","1,4","1,4","1,4","1,4","1,4",1,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,10",1,1,1,"1,4,5","1,4,5"
Bayfair,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,1,1,,1,1,1,1,"1,4","1,4","1,4","1,4","1,4","1,4",1,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,11",1,1,1,"1,4,5","1,4,5"
Hayward,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,1,1,1,,1,1,1,"1,4","1,4","1,4","1,4","1,4","1,4",1,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,12",1,1,1,"1,4,5","1,4,5"
South Hayward,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,1,1,1,1,,1,1,"1,4","1,4","1,4","1,4","1,4","1,4",1,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,13",1,1,1,"1,4,5","1,4,5"
Union City,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,1,1,1,1,1,,1,"1,4","1,4","1,4","1,4","1,4","1,4",1,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,14",1,1,1,"1,4,5","1,4,5"
Fremont,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,1,1,1,1,1,1,,"1,4","1,4","1,4","1,4","1,4","1,4",1,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,15",1,1,1,"1,4,5","1,4,5"
Concord,"3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",,4,4,4,4,4,4,"2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","4,6","4,6",4,4,"2,4","2,4","2,4","2,4","4,6","1,4,7","1,4","1,4","1,4","4,5","4,5"
Pleasant Hill,"3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",4,,4,4,4,4,4,"2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","4,6","4,6",4,4,"2,4","2,4","2,4","2,4","4,6","1,4,7","1,4","1,4","1,4","4,5","4,5"
Walnut Creek,"3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",4,4,,4,4,4,4,"2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","4,6","4,6",4,4,"2,4","2,4","2,4","2,4","4,6","1,4,7","1,4","1,4","1,4","4,5","4,5"
Lafayette,"3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",4,4,4,,4,4,4,"2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","4,6","4,6",4,4,"2,4","2,4","2,4","2,4","4,6","1,4,7","1,4","1,4","1,4","4,5","4,5"
Orinda,"3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",4,4,4,4,,4,4,"2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","4,6","4,6",4,4,"2,4","2,4","2,4","2,4","4,6","1,4,7","1,4","1,4","1,4","4,5","4,5"
Rockridge,"3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",4,4,4,4,4,,4,"2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","4,6","4,6",4,4,"2,4","2,4","2,4","2,4","4,6","1,4,7","1,4","1,4","1,4","4,5","4,5"
West Oakland,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,,2,2,2,2,2,2,2,2,2,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
Embarcadero,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,,2,2,2,2,2,2,2,2,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
Montgomery Street,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,,2,2,2,2,2,2,2,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
Powell Street,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,,2,2,2,2,2,2,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
Civic Center,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,,2,2,2,2,2,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
16th Street Mission,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,,2,2,2,2,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
24th Street Mission,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,2,,2,2,2,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
Glen Park,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,2,2,,2,2,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
Balboa Park,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,2,2,2,,2,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
Daly City,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,2,2,2,2,,2,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
Colma,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,2,2,2,2,2,,"2,6","2,6","2,4","2,4",2,2,2,2,"2,6","1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
Castro Valley,"3,6","3,6","3,6","3,6","3,6","3,6","3,6","3,6","3,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","4,6","4,6","4,6","4,6","4,6","4,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6",,6,"4,6","4,6","2,6","2,6","2,6","2,6",6,"6,7","1,6","1,6","1,6","4,5,6","4,5,6"
Dublin/Pleasanton,"3,6","3,6","3,6","3,6","3,6","3,6","3,6","3,6","3,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","4,6","4,6","4,6","4,6","4,6","4,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6",6,,"4,6","4,6","2,6","2,6","2,6","2,6",6,"6,7","1,6","1,6","1,6","4,5,6","4,5,6"
North Concord,"3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",4,4,4,4,4,4,"2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","4,6","4,6",,4,"2,4","2,4","2,4","2,4","4,6","1,4,7","1,4","1,4","1,4","4,5","4,5"
Pittsburg/Bay Point,"3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",4,4,4,4,4,4,"2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","4,6","4,6",4,,"2,4","2,4","2,4","2,4","4,6","1,4,7","1,4","1,4","1,4","4,5","4,5"
South San Francisco,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,2,2,2,2,2,2,"2,6","2,6","2,4","2,4",,2,2,2,2,"1,2,7","1,2","1,2","1,2","2,4,5","2,4,5"
San Bruno,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,2,2,2,2,2,2,"2,6","2,6","2,4","2,4",2,,2,2,2,"1,2,7","1,2","1,2","1,2","2,4,6","2,4,6"
SFO,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,2,2,2,2,2,2,"2,6","2,6","2,4","2,4",2,2,,2,2,"1,2,7","1,2","1,2","1,2","2,4,7","2,4,7"
Millbrae,"3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","3,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","2,4","2,4","2,4","2,4","2,4","2,4",2,2,2,2,2,2,2,2,2,2,2,"2,6","2,6","2,4","2,4",2,2,2,,2,"1,2,7","1,2","1,2","1,2","2,4,8","2,4,8"
West Dublin,"3,6","3,6","3,6","3,6","3,6","3,6","3,6","3,6","3,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","4,6","4,6","4,6","4,6","4,6","4,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6","2,6",6,6,"4,6","4,6",2,2,2,2,,"6,7","1,6","1,6","1,6","4,5,6","4,5,6"
Oakland Air,"1,3,7","1,3,7","1,3,7","1,3,7","1,3,7","1,3,7","1,3,7","1,3,7","1,3,7","1,7","1,8","1,9","1,10","1,11","1,12","1,13","1,14","1,15","1,4,7","1,4,7","1,4,7","1,4,7","1,4,7","1,4,7","1,2,7","1,2,7","1,2,7","1,2,7","1,2,7","1,2,7","1,2,7","1,2,7","1,2,7","1,2,7","1,2,7","6,7","6,7","1,4,7","1,4,7","1,2,7","1,2,7","1,2,7","1,2,7","6,7",,"1,7","1,7","1,7","1,4,5,7","1,4,5,7"
Warm Springs,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,1,1,1,1,1,1,1,"1,4","1,4","1,4","1,4","1,4","1,4","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,7",,1,1,"1,4,5","1,4,5"
Milpitas,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,1,1,1,1,1,1,1,"1,4","1,4","1,4","1,4","1,4","1,4","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,7",1,,1,"1,4,5","1,4,5"
Berryessa,"1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3","1,3",1,1,1,1,1,1,1,1,1,"1,4","1,4","1,4","1,4","1,4","1,4","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,6","1,4","1,4","1,2","1,2","1,2","1,2","1,6","1,7",1,1,,"1,4,5","1,4,5"
Pittsburg Center,"3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","4,5","4,5","4,5","4,5","4,5","4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","4,5,6","4,5,6","4,5","4,5","2,4,5","2,4,6","2,4,7","2,4,8","4,5,6","1,4,5,7","1,4,5","1,4,5","1,4,5",,5
Antioch,"3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","3,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","1,4,5","4,5","4,5","4,5","4,5","4,5","4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","2,4,5","4,5,6","4,5,6","4,5","4,5","2,4,5","2,4,6","2,4,7","2,4,8","4,5,6","1,4,5,7","1,4,5","1,4,5","1,4,5",5,